# 9 columns for each window:
# stream-name instance frame link-name priority offset window-open window-close finished
tsn0  0  0  link02  0   0.0   0.0   1.5   3.0
tsn0  0  1  link02  0   0.0   1.5   3.0   4.5
tsn0  0  0  link21  0   1.5   1.5   3.0   3.0
tsn1  0  0  link02  0   0.0   3.0   4.5   6.0
tsn0  0  1  link21  0   3.0   3.0   4.5   4.5
tsn1  0  1  link02  0   0.0   4.5   6.0   7.5
tsn1  0  0  link21  0   4.5   4.5   6.0   6.0
avb0  0  0  link02  1   0.0   6.0   7.5   9.0
tsn1  0  1  link21  0   6.0   6.0   7.5   7.5
avb0  0  1  link02  1   0.0   7.5   9.0  10.5
avb0  0  0  link21  1   7.5   7.5   9.0   9.0
avb0  0  2  link02  1   0.0   9.0  10.5  12.0
avb0  0  1  link21  1   9.0   9.0  10.5  10.5
avb0  0  3  link02  1   0.0  10.5  12.0  13.5
avb0  0  2  link21  1  10.5  10.5  12.0  12.0
avb0  0  4  link02  1   0.0  12.0  13.5  15.0
avb0  0  3  link21  1  12.0  12.0  13.5  13.5
avb0  0  5  link02  1   0.0  13.5  15.0  16.5
avb0  0  4  link21  1  13.5  13.5  15.0  15.0
avb0  0  5  link21  1  15.0  15.0  16.5  16.5
